"COMMAND","TEXT","AUTHOR","CREATED",
"princest2","Thou art blessed for the Pizza Patron has blessed thee with a vessel of the Holy Dough. Lament not upon inferior Tomatoes lest ye be left in wanting. Blessed be the Prince Street Pizza, and blessed be the Pizza Patron who brings not only the Holy Exalted Prince Street Pizza, but even the lowest of Pies upon our countenance.","sp0ck1",2021-02-13 05:36:43.711888000,
"link2","I'm Link (he/him) A Hylian hero with a sleep schedule that doesn't exist. I'm in a lot of video games and I'm a big sports fan (mainly horseback riding and archery). I'm mostly known around here for saving the kingdom of Hyrule and having a fairy named Navi but I have mostly stopped doing that over the last year.","sp0ck1",2021-02-10 22:01:18.206240000,
"some","no more whammies","sp0ck1",2021-02-10 23:16:55.942741000,
"capitalism","FARMER'S WHEAT :Sp0ck1Bread:  MILLER'S FLOUR :Sp0ck1Bread:  BAKER'S OVEN :Sp0ck1Bread:  CONSUMERS' MONEY :Sp0ck1Bread:  FREE CAPITALISM :Sp0ck1Bread:","daro",2021-02-23 02:30:06.161470000,
"hltb pok","You could probably beat Pokémon Puzzle League in 12 minutes, sg4e. I know you're a gamer!","sg4e",2021-03-02 10:45:32.748318000,
"look","Look all you have to do is make a gigantic wall of text so big that spock will have to spend at least long enough to flip the truck during. While he reads the paragraph make sure to put in more paragraphs so he feels like it's a large discussion he has to keep track of. :pieLogic:","sanevin",2021-05-24 15:00:17.406322000,
"selections","We're reading chapters 1-3 of Peter Pan in Kensington Gardens, where he's a baby or something? I'll be highlighting things as possible because I need to pick out some quotes from it afterward. If there is somehow time today, we'll also move on to Peter and Wendy, the traditional ""Peter Pan"" story. But I have a quiz to do so this probably has to wait.","sp0ck1",2021-10-03 02:46:27.936951000,
"vote1","Sorry, I hate that one so you can't vote for it.","spock",2022-02-08 23:27:02.301455000,
"vote2","I've heard this one has a cheat that lets you see boobs, so no.","spock",2022-02-08 23:27:14.829371000,
"vote3","How many licks does it take to tell you that I'm not going to allow you to vote for this game? Three! One. Two. No.","spock",2022-02-08 23:27:51.790557000,
"vote4","I know you might _think_ that you want this, but trust me, you're better off if I don't let you do this.","spock",2022-02-08 23:28:16.295479000,
"vote5","I played this game back in 2008. This is an allowable vote.","spock",2022-02-08 23:28:44.551541000,
"dwons","https://steamcommunity.com/sharedfiles/filedetails/?id=1619024877","sp0ck1",2022-12-15 01:41:12.652968000,
"hello","\:Sp0ck1Wave:","spock",2023-05-03 21:15:02.897757000,
